,,,,,,,,,,,,,CHESTNUTS
,,,,,,,,,,,,,CHIA SEEDS
,,,,,,,,,,,,,CHICKPEAS (aka GARBANZO BEANS)
,,,,,,,,,,,,,"CHILES, CHIPOTLE"
,,,,,,,,,,,,,"CHILES, HABANERO"
,,,,,,,,,,,,,"CHILES, JALAPEÑO"
,,,,,,,,,,,,,"CHILES, SERRANO"
,,,,,,,,,,,,,CHILI PEPPER FLAKES
,,,,,,,,,,,,,CHILI POWDER
,,,,,,,,,,,,,CHIVES
,,,,,,,,,,,,,"CHIVES, GARLIC (aka CHINESE CHIVES)"
,,,,,,,,,,,,,CILANTRO (aka CHINESE PARSLEY or FRESH CORIANDER LEAF)
,,,,,,,,,,,,,COCONUT BUTTER
,,,,,,,,,,,,,COCONUT WATER
,,,,,,,,,,,,,CORN
,,,,,,,,,,,,,CORNMEAL and POLENTA (see also GRITS)
,,,,,,,,,,,,,CUMIN
,,,,,,,,,,,,,DILL SEEDS (see also DILL and DILL WEED)
,,,,,,,,,,,,,DILL WEED (see also DILL and DILL SEEDS)
,,,,,,,,,,,,,EGGPLANT (aka AUBERGINE)
,,,,,,,,,,,,,"EGGS (e.g., FRESH)"
,,,,,,,,,,,,,ENDIVE (aka BELGIAN ENDIVE)
,,,,,,,,,,,,,FENNEL
,,,,,,,,,,,,,FENNEL FRONDS (or LEAVES)
,,,,,,,,,,,,,FENNEL SEEDS
,,,,,,,,,,,,,FENUGREEK
,,,,,,,,,,,,,FIDDLEHEAD FERNS
,,,,,,,,,,,,,FLAXSEEDS
,,,,,,,,,,,,,"FLOWERS, EDIBLE"
,,,,,,,,,,,,,GARLIC
,,,,,,,,,,,,,"GARLIC, GREEN (aka BABY GARLIC or SPRING GARLIC)"
,,,,,,,,,,,,,GINGER—IN GENERAL
,,,,,,,,,,,,,"GINGER, POWDERED (i.e., dried, ground)"
,,,,,,,,,,,,,"GREENS, BEET"
,,,,,,,,,,,,,"GREENS, COLLARD"
,,,,,,,,,,,,,"GREENS, DANDELION"
,,,,,,,,,,,,,HAZELNUTS (aka FILBERTS)
,,,,,,,,,,,,,HONEY—IN GENERAL
,,,,,,,,,,,,,KALE
,,,,,,,,,,,,,"KELP, KELP GRANULES, and KELP POWDER (see also ARAME, KOMBU, SEA VEGETABLES, and WAKAME)"
,,,,,,,,,,,,,LAVENDER
,,,,,,,,,,,,,LEEKS
,,,,,,,,,,,,,LEMON VERBENA
,,,,,,,,,,,,,LEMONGRASS
,,,,,,,,,,,,,LEMONS
,,,,,,,,,,,,,"LENTILS, BROWN"
,,,,,,,,,,,,,"LENTILS, GREEN"
,,,,,,,,,,,,,"LENTILS, YELLOW"
,,,,,,,,,,,,,"LIMES (e.g., JUICE, ZEST)"
,,,,,,,,,,,,,LIQUID SMOKE
,,,,,,,,,,,,,MANGOES
,,,,,,,,,,,,,"MILK, ALMOND"
,,,,,,,,,,,,,"MILK, COCONUT"
,,,,,,,,,,,,,"MILK, e.g., WHOLE or NONFAT—IN GENERAL"
,,,,,,,,,,,,,"MILK, GOAT"
,,,,,,,,,,,,,"MILK, HEMP"
,,,,,,,,,,,,,"MILK, SOY"
,,,,,,,,,,,,,MILLET
,,,,,,,,,,,,,"MISO, DARK"
,,,,,,,,,,,,,"MUSHROOMS, BLACK TRUMPET"
,,,,,,,,,,,,,"MUSHROOMS, BUTTON (aka WHITE MUSHROOMS)"
,,,,,,,,,,,,,"MUSHROOMS, CHANTERELLE"
,,,,,,,,,,,,,"MUSHROOMS, CHICKEN OF THE WOODS"
,,,,,,,,,,,,,"MUSHROOMS, CREMINI (aka CRIMINI or ITALIAN BROWN MUSHROOMS)"
,,,,,,,,,,,,,"MUSHROOMS, MOREL"
,,,,,,,,,,,,,"MUSHROOMS, OYSTER"
,,,,,,,,,,,,,"MUSHROOMS, PORCINI (aka BOLETES or CÈPES; see also MUSHROOMS, WILD)"
,,,,,,,,,,,,,"MUSHROOMS, PORTOBELLO"
,,,,,,,,,,,,,"MUSHROOMS, SHIITAKE—DRIED and FRESH"
,,,,,,,,,,,,,MUSTARD POWDER (aka DRY MUSTARD)
,,,,,,,,,,,,,MUSTARD SEEDS
,,,,,,,,,,,,,"MUSTARD, e.g., DIJON (see also GREENS, MUSTARD; MUSTARD POWDER; MUSTARD SEEDS)"
,,,,,,,,,,,,,NETTLES (aka STINGING NETTLES)
,,,,,,,,,,,,,"NOODLES, RICE (aka RICE STICKS—or RICE VERMICELLI, which are thinner strands)"
,,,,,,,,,,,,,NUTRITIONAL YEAST (aka affectionately as NOOCH)
,,,,,,,,,,,,,"NUTS, BRAZIL"
,,,,,,,,,,,,,"NUTS, MACADAMIA"
,,,,,,,,,,,,,"OIL, CANOLA"
,,,,,,,,,,,,,"OIL, COCONUT"
,,,,,,,,,,,,,"OIL, FLAXSEED"
,,,,,,,,,,,,,"OIL, OLIVE"
,,,,,,,,,,,,,"OIL, PEANUT"
,,,,,,,,,,,,,"OIL, SESAME"
,,,,,,,,,,,,,"OIL, VEGETABLE"
,,,,,,,,,,,,,"OLIVES, KALAMATA"
,,,,,,,,,,,,,"OLIVES, PICHOLINE"
,,,,,,,,,,,,,"ONIONS, PEARL"
,,,,,,,,,,,,,"ONIONS, RED (see also ONIONS)"
,,,,,,,,,,,,,"ONIONS, VIDALIA"
,,,,,,,,,,,,,"ORANGES, ORANGE JUICE, and ORANGE ZEST"
,,,,,,,,,,,,,OREGANO
,,,,,,,,,,,,,"PAPAYA (i.e., RED)"
,,,,,,,,,,,,,"PAPRIKA (see also PAPRIKA, SMOKED)"
,,,,,,,,,,,,,"PAPRIKA, SMOKED (aka PIMENTON or PIMENTON DE LA VERA)"
,,,,,,,,,,,,,"PARSLEY, generally ITALIAN (aka FLAT-LEAF PARSLEY)"
,,,,,,,,,,,,,PARSNIPS
,,,,,,,,,,,,,PEANUTS and PEANUT BUTTER
,,,,,,,,,,,,,PEARS—IN GENERAL
,,,,,,,,,,,,,"PEAS, SPLIT"
,,,,,,,,,,,,,PECANS
,,,,,,,,,,,,,"PEPPER, BLACK"
,,,,,,,,,,,,,"PEPPER, WHITE"
,,,,,,,,,,,,,PEPPERMINT
,,,,,,,,,,,,,PINE NUTS (aka PIGNOLI)
,,,,,,,,,,,,,PINEAPPLE
,,,,,,,,,,,,,PISTACHIOS
,,,,,,,,,,,,,"PLANTAINS, GREEN"
,,,,,,,,,,,,,"PLANTAINS, SWEET (e.g., BROWN or YELLOW)"
,,,,,,,,,,,,,POMEGRANATES and POMEGRANATE JUICE (see also POMEGRANATE MOLASSES)
,,,,,,,,,,,,,"POTATOES, BLUE (or PURPLE)"
,,,,,,,,,,,,,"POTATOES, FINGERLING"
,,,,,,,,,,,,,"POTATOES, NEW (aka RED POTATOES)"
,,,,,,,,,,,,,"POTATOES, RUSSET"
,,,,,,,,,,,,,"POTATOES, THICK-SKINNED (e.g., IDAHO, RUSSET)"
,,,,,,,,,,,,,"POTATOES, THIN-SKINNED (e.g., NEW POTATOES, WHITE POTATOES)"
,,,,,,,,,,,,,"POTATOES, YELLOW (e.g., YUKON GOLD)"
,,,,,,,,,,,,,"PUMPKIN (see also SQUASH, WINTER)"
,,,,,,,,,,,,,QUINOA
,,,,,,,,,,,,,RADISHES—IN GENERAL (see also DAIKON)
,,,,,,,,,,,,,RAISINS
,,,,,,,,,,,,,"RICE, BASMATI, and BROWN BASMATI RICE"
,,,,,,,,,,,,,"RICE, BLACK (aka FORBIDDEN RICE)"
,,,,,,,,,,,,,"RICE, BROWN—IN GENERAL"
,,,,,,,,,,,,,"RICE, JASMINE (see also THAI CUISINE)"
,,,,,,,,,,,,,"RICE, WILD"
,,,,,,,,,,,,,ROSEMARY
,,,,,,,,,,,,,SAFFRON
,,,,,,,,,,,,,SAGE
,,,,,,,,,,,,,"SALT, BLACK"
,,,,,,,,,,,,,"SALT, HIMALAYAN"
,,,,,,,,,,,,,"SALT, KOSHER"
,,,,,,,,,,,,,"SALT, SEA"
,,,,,,,,,,,,,"SALT, SMOKED"
,,,,,,,,,,,,,SAUERKRAUT
,,,,,,,,,,,,,SCALLIONS (aka GREEN ONIONS or SPRING ONIONS)
,,,,,,,,,,,,,"SEEDS, PUMPKIN"
,,,,,,,,,,,,,"SEEDS, SUNFLOWER"
,,,,,,,,,,,,,SEITAN (see also tips for NAMA-FU)
,,,,,,,,,,,,,SESAME SEEDS—IN GENERAL (aka GOMA)
,,,,,,,,,,,,,SHALLOTS
,,,,,,,,,,,,,SNOW PEAS (aka CHINESE PEA PODS) (see also SUGAR SNAP PEAS)
,,,,,,,,,,,,,SORREL
,,,,,,,,,,,,,SPINACH
,,,,,,,,,,,,,"SQUASH, ACORN (see also SQUASH, WINTER)"
,,,,,,,,,,,,,"SQUASH, BUTTERNUT (see also SQUASH, WINTER)"
,,,,,,,,,,,,,"SQUASH, CROOKNECK (see also SQUASH, SUMMER)"
,,,,,,,,,,,,,"SQUASH, YELLOW (see SQUASH, SUMMER)"
,,,,,,,,,,,,,SRIRACHA (aka CHILI GARLIC SAUCE)
,,,,,,,,,,,,,"STOCK, MUSHROOM"
,,,,,,,,,,,,,"STOCK, VEGETABLE (see also DASHI)"
,,,,,,,,,,,,,SUGAR SNAP PEAS (aka SNAP PEAS)
,,,,,,,,,,,,,SWEET POTATOES
,,,,,,,,,,,,,TAMARI
,,,,,,,,,,,,,TEMPEH
,,,,,,,,,,,,,THYME
,,,,,,,,,,,,,"TOFU, FIRM or EXTRA-FIRM"
,,,,,,,,,,,,,"TOFU, SCRAMBLED"
,,,,,,,,,,,,,"TOFU, SILKEN"
,,,,,,,,,,,,,"TOFU, SMOKED"
,,,,,,,,,,,,,"TOFU, SOFT"
,,,,,,,,,,,,,"TOFU, SUPER-FIRM"
,,,,,,,,,,,,,TOMATILLOS
,,,,,,,,,,,,,"TOMATOES, GREEN"
,,,,,,,,,,,,,"TOMATOES, SUN-DRIED (or OVEN-DRIED TOMATOES)"
,,,,,,,,,,,,,"TOMATOES, TOMATO JUICE, TOMATO PASTE, and TOMATO SAUCE"
,,,,,,,,,,,,,"TRUFFLES, BLACK"
,,,,,,,,,,,,,"TRUFFLES, WHITE"
,,,,,,,,,,,,,"TURMERIC (see also CURRY POWDER, which contains turmeric)"
,,,,,,,,,,,,,"TURNIPS (see also GREENS, TURNIP)"
,,,,,,,,,,,,,"VINEGAR, APPLE CIDER (aka VINEGAR, CIDER)"
,,,,,,,,,,,,,"VINEGAR, BALSAMIC"
,,,,,,,,,,,,,"VINEGAR, RED WINE (see also VINEGAR, WINE–IN GENERAL)"
,,,,,,,,,,,,,"VINEGAR, SHERRY"
,,,,,,,,,,,,,WALNUTS
,,,,,,,,,,,,,YAMS
,,,,,,,,,,,,,"ZUCCHINI (see also SQUASH, SUMMER)"
